time,temperature_2m_mean (Â°C),temperature_2m_max (Â°C),temperature_2m_min (Â°C),precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
1/01/2022,24.6,25.9,23.4,27.4,27.4,29700.95,41740.14,18.3,2.45
2/01/2022,24.8,25.7,23.4,12.3,12.3,11550.19,41747.59,21.5,2
3/01/2022,26.1,27.5,24.9,3.5,3.5,31743.43,41755.69,23.7,3.66
4/01/2022,26.3,27.4,25.5,0,0,38664.25,41764.52,23.7,4.65
5/01/2022,26,26.9,25,2.1,2.1,35709.3,41774.12,20.6,3.77
6/01/2022,26,27.7,24.8,3.8,3.8,38624.88,41784.44,23.6,3.76
7/01/2022,25.6,27.5,24.5,4.3,4.3,38606.02,41795.47,19.7,3.42
8/01/2022,25.9,28,23.5,1.5,1.5,38587.79,41807.19,21.6,4.13
9/01/2022,26.2,27.9,24.3,2.4,2.4,38570.2,41819.57,17.6,4.18
10/01/2022,25.2,25.6,24.2,7.3,7.3,338.9,41832.59,15.5,1.55
11/01/2022,25.8,27.2,25,4.6,4.6,38537.16,41846.22,18.1,3.29
12/01/2022,26.5,28.3,24.9,0.5,0.5,38521.79,41860.45,12.9,3.85
13/01/2022,26.5,28.6,23.8,0,0,38516.67,41875.25,11.8,3.86
14/01/2022,26.6,28.6,25,0.4,0.4,38493.59,41890.61,13,3.94
15/01/2022,26.6,28.3,25.2,0.2,0.2,38480.83,41906.48,14.9,4.08
16/01/2022,26.9,28.4,25.6,0.5,0.5,38535.93,41922.86,20,4.47
17/01/2022,26.6,28.4,25.1,2,2,38458.23,41939.71,20.4,4.42
18/01/2022,26,28,23.8,1.4,1.4,38509.4,41957.03,20.6,4.57
19/01/2022,25.9,27.5,25,0.3,0.3,38572.93,41974.78,18.7,4.62
20/01/2022,25.2,27.4,23.3,0,0,38794.72,41992.95,12.9,4.71
21/01/2022,24.5,27.6,20.8,0,0,38790.79,42011.5,9.8,4.45
22/01/2022,23.9,28.5,19.6,0,0,38787.66,42030.43,12.2,4.43
23/01/2022,24.8,28.1,21.8,0,0,38785.44,42049.72,13.8,4.27
24/01/2022,25.3,28.5,22.6,0,0,38784.06,42069.56,15.1,4.4
25/01/2022,25.2,27.8,22.5,0,0,38447.77,42090.01,14.5,4.32
26/01/2022,25.2,27.9,22.4,0,0,38698.53,42111.04,14.1,4.24
27/01/2022,25.5,27.8,22.5,0,0,38412.45,42132.6,19.4,4.64
28/01/2022,25.5,27,24.1,6.6,6.6,36538.18,42154.68,21.4,3.49
29/01/2022,25.7,27.1,24.1,11.4,11.4,32697.61,42177.24,21.4,3.02
30/01/2022,25.7,27.1,24.4,5.5,5.5,35030.74,42200.24,17,3.14
31/01/2022,26.3,28,24.9,0.5,0.5,38977.31,42223.68,14.7,4.43
1/02/2022,25.8,27.9,24,0,0,39167.07,42247.5,13.3,4.67
2/02/2022,25,27.3,23.2,0,0,39361.2,42271.68,13.1,4.67
3/02/2022,25.1,27.9,22,0,0,39466.1,42296.19,10.2,4.75
4/02/2022,25.3,28.7,20.9,0,0,39384.79,42321.01,12.1,4.77
5/02/2022,26.3,28.8,24.3,0.1,0.1,39397.34,42346.1,15.3,4.65
6/02/2022,26.3,28.1,25.1,0,0,39506.15,42371.45,15.7,4.94
7/02/2022,26.2,27.9,24.8,0,0,38748.66,42397,17.4,4.85
8/02/2022,26.3,28.7,24.8,0,0,37785.56,42422.76,15.5,4.69
9/02/2022,26.5,28.2,24.8,0,0,29061.03,42448.68,18.2,4.67
10/02/2022,25.2,26.4,23.9,21.3,21.3,12668.41,42474.74,12.8,2.11
11/02/2022,25.1,26.5,24.1,11.6,11.6,30728.01,42500.91,16.1,2.66
12/02/2022,25.1,26.5,23.9,24.2,24.2,26949.3,42527.19,17.2,2.61
13/02/2022,25.6,27.4,24.1,23.6,23.6,2979.08,42553.79,21,2.49
14/02/2022,26.4,27.9,25.2,0.2,0.2,39634.75,42580.78,20.5,5.07
15/02/2022,26.3,27.9,25.1,0,0,39552.97,42608.14,17.1,5.23
16/02/2022,26,28,24.8,0,0,38964.43,42635.82,16.6,5.06
17/02/2022,26.3,28.1,24.6,0,0,37146.34,42663.82,16.9,5.27
18/02/2022,26,27.7,24.6,1.3,1.3,38573.59,42692.11,17.8,4.11
19/02/2022,26.2,27.2,24.8,2.6,2.6,38169.1,42720.64,16.7,3.84
20/02/2022,26.5,28.7,25,3.1,3.1,38697.97,42749.42,13.8,4.05
21/02/2022,26.7,29.3,25,0,0,40299.38,42778.39,11.9,4.55
22/02/2022,26.7,29.2,25,0,0,40324.79,42807.54,13.3,4.83
23/02/2022,26.6,28.1,24,3.4,3.4,39109.58,42836.84,20.8,4.44
24/02/2022,27,28.3,26,0.3,0.3,39858.53,42866.27,21.4,5.29
25/02/2022,26.8,27.9,25.4,0,0,39365.01,42895.8,17.5,4.9
26/02/2022,27,29,25,3.6,3.6,39286.07,42925.41,20.3,4.9
27/02/2022,26.4,28.4,23.8,1.2,1.2,40352.7,42955.08,19.4,4.97
28/02/2022,26.8,28.5,25.7,0.3,0.3,40275.52,42984.77,17.1,5.09
1/03/2022,26.9,28.7,25.8,0,0,39467.39,43014.48,18.3,5.11
2/03/2022,26.9,28.6,25.7,0,0,34114.78,43044.16,21.1,4.92
3/03/2022,26.8,27.7,25.7,1.3,1.3,228.94,43073.8,22.9,3.31
4/03/2022,26,27.5,24.8,4.4,4.4,14751.34,43103.39,27,3.09
5/03/2022,26.5,28.6,24.9,2,2,34343.21,43133.14,25.5,4.7
6/03/2022,26.5,28.6,24.4,1,1,40231.84,43163.12,20.2,4.43
7/03/2022,26.2,28.6,23.2,1.3,1.3,39736.5,43193.3,17.6,4.44
8/03/2022,27.1,28.9,25.9,0,0,40500.78,43223.67,15.5,5.19
9/03/2022,26.8,28.7,25.3,0,0,40636.13,43254.2,13.1,5.08
10/03/2022,26.6,28.6,25.4,0,0,40667.02,43284.87,12.3,5.09
11/03/2022,27.1,28.9,25.3,0,0,39649.58,43315.65,16.6,4.97
12/03/2022,27.4,29.4,26,1,1,40101,43346.54,16.8,5.01
13/03/2022,26.9,28.6,25.8,0,0,39295.07,43377.49,15,5.05
14/03/2022,27,28.9,25.9,0,0,40794.12,43408.5,14.4,5.22
15/03/2022,26.7,28.8,25.4,0,0,39349.29,43439.55,12.5,4.93
16/03/2022,26.3,29.6,23.2,0,0,32093.79,43470.61,11.7,4.16
17/03/2022,26.6,30.4,23.4,0,0,29738.72,43501.66,12.3,3.34
18/03/2022,27.4,30.9,25,0.1,0.1,40506.56,43532.68,12,4.81
19/03/2022,27.6,32.4,24.6,0.1,0.1,40748.06,43563.64,12.4,4.84
20/03/2022,28.8,34.3,24.6,0.5,0.5,40676.41,43594.54,18.9,5.59
21/03/2022,28.4,34.2,25,0.6,0.6,40604.77,43625.33,15.1,5.3
22/03/2022,28.6,33.6,25.8,0.1,0.1,40012.58,43656.02,17.4,5.05
23/03/2022,27.9,31.9,25.7,1.4,1.4,40343.23,43686.56,15.6,4.67
24/03/2022,27.2,31,24.7,1.2,1.2,40551.12,43716.95,11.5,4.62
25/03/2022,27.1,30.9,24.8,2.9,2.9,39927.61,43747.4,12.3,4.52
26/03/2022,27.6,30.7,24.7,0,0,40758.47,43777.95,14.5,5.11
27/03/2022,27.7,30.8,25.1,0.1,0.1,40861.89,43808.61,15.8,5.14
28/03/2022,27.9,30.4,25.4,0,0,40861.46,43839.33,14.7,5.07
29/03/2022,27.9,31.4,24.6,0,0,40861.05,43870.11,16.4,5.27
30/03/2022,28.1,32.3,25.2,1.2,1.2,40757.2,43900.93,14.5,5.05
31/03/2022,27.7,32.6,24,0.1,0.1,40653.57,43931.75,18.9,5.21
1/04/2022,28,31.8,25.4,1.1,1.1,40343.74,43962.57,15.1,5.09
2/04/2022,27.4,31.8,24.7,4.7,4.7,40034.57,43993.37,12.9,4.76
3/04/2022,27.6,31,24.7,1.2,1.2,40653.16,44024.12,12.6,4.94
4/04/2022,27.7,30.2,24.7,0.4,0.4,40756.02,44054.79,16.2,4.96
5/04/2022,27.4,30.5,24.8,0.1,0.1,40447.44,44085.38,13.6,5.06
6/04/2022,26.9,30.4,24,1.5,1.5,40344.9,44115.86,10.9,4.5
7/04/2022,27.5,30.1,24.4,0.1,0.1,40550.54,44146.21,14,4.87
8/04/2022,26.7,29.4,24.7,8.9,8.9,36630.4,44176.39,11.9,4.06
9/04/2022,25.5,28,24.1,17.8,17.8,18080.41,44206.41,15.1,2.49
10/04/2022,25.5,28.6,23.5,20.2,20.2,19373.69,44236.23,10.4,2.94
11/04/2022,26.6,29.5,24,8.2,8.2,26918.31,44265.82,10.3,3.79
12/04/2022,26.6,30.4,24.5,3.7,3.7,33941.81,44295.17,13,4.02
13/04/2022,26.2,31,24.2,12.8,12.8,32400,44324.27,11.2,3.88
14/04/2022,27.1,31.3,24.4,3.6,3.6,36338.64,44353.29,16.6,3.86
15/04/2022,27.9,32.7,25.1,4.4,4.4,37125.89,44382.31,11.1,4.59
16/04/2022,28.1,33.2,25.5,1,1,39839.27,44411.3,14.3,4.79
17/04/2022,27.6,32.3,25.4,4,4,36519.32,44440.25,15.3,4.06
18/04/2022,27.8,32.3,25.2,3.1,3.1,38042.77,44469.12,15,4.5
19/04/2022,27.9,32.1,25.1,1.7,1.7,40146.64,44497.91,14,4.3
20/04/2022,28.1,31.2,25.2,0.2,0.2,40557.94,44526.58,13.7,5.08
21/04/2022,28.1,30.6,25.8,0.7,0.7,40250.7,44555.12,15.1,4.97
22/04/2022,26.9,30.7,24.1,13.9,13.9,39600,44583.51,15.8,4.63
23/04/2022,26.6,29.6,23.6,9.3,9.3,32822.27,44611.72,9.6,3.65
24/04/2022,27.5,31.1,24.8,0,0,40356,44639.73,11.8,4.92
25/04/2022,28.5,31.5,25.7,0,0,40460,44667.51,13.4,5.2
26/04/2022,28.3,31.2,25.1,0,0,40461.09,44695.05,12.2,5.23
27/04/2022,28.8,31.3,26.8,0,0,40462.23,44722.32,13.8,4.99
28/04/2022,27.8,31.8,25.5,7.6,7.6,36278.25,44749.29,11.5,4.23
29/04/2022,27.9,32.6,25.3,2.2,2.2,40153.68,44775.93,13.4,4.67
30/04/2022,29.1,34.3,25.4,0,0,40258.25,44802.23,18.9,5.33
1/05/2022,29.3,35.1,25.9,0,0,39627.65,44828.17,14.9,5.54
2/05/2022,29.3,34.5,25.9,0,0,40260.11,44853.7,15.6,5.45
3/05/2022,29.1,33.3,26,0,0,39600,44878.81,16.4,5.26
4/05/2022,29.2,33.5,26.3,0.6,0.6,39844.48,44903.69,13,5.09
5/05/2022,28.6,33.1,26.1,2.8,2.8,39965.81,44928.39,14.8,4.73
6/05/2022,29.5,34.9,25.8,0,0,39737.41,44952.88,15.5,5.49
7/05/2022,29.5,35.1,25.8,0.7,0.7,39701.76,44977.15,15.3,5.28
8/05/2022,30.3,35.9,26.7,0,0,29700.34,45001.17,16.5,5.2
9/05/2022,30.2,34,27.7,0.1,0.1,27817.37,45024.92,23,5
10/05/2022,30.2,34.4,27.4,0.9,0.9,34115.45,45048.38,24.5,5.51
11/05/2022,29.8,33.8,26.7,0,0,40162.07,45071.53,28.3,6.57
12/05/2022,29.8,33.1,27.5,0,0,40162.7,45094.34,29.3,6.88
13/05/2022,29,32.1,26,1.7,1.7,39947.83,45116.79,25.3,5.73
14/05/2022,28.9,32.9,26.7,1.3,1.3,39947.64,45138.86,27.9,5.6
15/05/2022,29.1,32.8,27,0,0,23010.04,45160.51,28.9,4.77
16/05/2022,29.4,33.2,26.6,0.1,0.1,39838.14,45181.73,26.6,6.12
17/05/2022,28.9,32.9,26.3,0.3,0.3,40056.11,45202.5,27.2,5.45
18/05/2022,28.9,32.9,26.7,0.3,0.3,39946.35,45222.79,31.2,5.85
19/05/2022,28.7,32.5,26.5,0.7,0.7,38607.95,45242.57,30.6,5.5
20/05/2022,29.1,33.2,26.2,0.2,0.2,40166.74,45261.82,28.4,5.86
21/05/2022,29.5,33.5,26.8,0.1,0.1,40278.2,45280.5,28.3,6.45
22/05/2022,29.8,34.2,27,0,0,40367.98,45298.61,26.4,6.62
23/05/2022,29.8,34.2,26.9,0.1,0.1,39831.56,45316.11,22.2,6.15
24/05/2022,29,33.1,26.3,0.9,0.9,40280.31,45333.15,25.2,5.65
25/05/2022,29.3,34.2,25.6,0.5,0.5,40054.95,45349.75,23,5.83
26/05/2022,29.2,34.1,25.7,0.1,0.1,40281.48,45365.92,24.2,6.1
27/05/2022,29.4,34.1,26.2,0,0,40509.99,45381.63,26.2,6.29
28/05/2022,29.5,33.9,26.3,0,0,39914.57,45396.87,25.9,6.61
29/05/2022,28.9,33.1,26.1,0,0,40373.69,45411.62,26.9,6.12
30/05/2022,29,33.7,25.8,0.2,0.2,40374.71,45425.86,28.3,6.25
31/05/2022,29.3,34.4,25.8,0,0,40167.2,45439.58,24.5,6.63
1/06/2022,29.6,34.1,26.2,0,0,40633.59,45452.76,25.8,6.59
2/06/2022,29.7,34.5,26.7,0,0,40635.34,45465.39,26.1,6.75
3/06/2022,29.9,35.9,26.3,0.5,0.5,40636.98,45477.45,22.3,6.36
4/06/2022,30.1,36.4,26.3,1.5,1.5,39600,45488.92,22.1,6.14
5/06/2022,29.8,35.2,26.5,0,0,40758.88,45499.79,26,6.48
6/06/2022,29.7,34.6,26.3,0,0,37403.67,45510.04,24.8,6.09
7/06/2022,29.1,33.5,26.8,0,0,25235.76,45519.66,27.9,5.18
8/06/2022,29.9,34.3,26.9,0,0,39600,45528.62,25.6,6.54
9/06/2022,30.1,35.5,26.8,0.2,0.2,39505.22,45536.93,24,6.53
10/06/2022,29.5,33.7,26.6,0.4,0.4,39686.23,45544.54,26.5,6.41
11/06/2022,29.3,33,26.5,0.2,0.2,38162.5,45551.46,27.6,6.1
12/06/2022,29.3,34.6,26.5,0.1,0.1,37730.46,45557.68,22.2,5.92
13/06/2022,29.2,35,26.3,0.6,0.6,41016.45,45563.22,20.1,5.57
14/06/2022,28.7,34.7,25.9,3,3,39600,45568.12,18.1,5.19
15/06/2022,27.9,33.7,25.8,21.6,21.6,33366.85,45572.37,18.1,4.37
16/06/2022,27.2,31.3,24.9,5.3,5.3,38983.7,45575.97,15.6,4.57
17/06/2022,26.6,29.1,25.1,9.8,9.8,2193.92,45578.93,13.8,1.99
18/06/2022,27.5,31.2,24.6,0.4,0.4,27679.98,45581.24,19.5,3.77
19/06/2022,27.6,33.7,25.2,7.5,7.5,31707.48,45582.9,17.8,4.16
20/06/2022,28.7,33.9,25.5,0.6,0.6,39770.76,45583.91,17.8,5.14
21/06/2022,29.2,34.1,26.4,3.3,3.3,39600,45584.28,19.6,5.37
22/06/2022,29,33.5,26.3,3.7,3.7,39891.57,45584,19.9,5.45
23/06/2022,29.7,34.5,26.4,0.5,0.5,39600,45583.09,19.5,5.87
24/06/2022,29.4,33.1,26.4,0.5,0.5,41286.55,45581.53,23,5.87
25/06/2022,29.7,33.8,26.6,0,0,39600,45579.33,24.5,6.26
26/06/2022,30.2,35.6,26.7,0,0,39229.7,45576.49,20.9,6.4
27/06/2022,30.1,34.3,26.7,0,0,38075.72,45573.02,22.7,6.29
28/06/2022,30.2,35.4,26.8,0.6,0.6,37438.89,45568.91,19.4,6
29/06/2022,29.5,35.1,26.1,0.5,0.5,41162.62,45564.17,17.3,5.27
30/06/2022,30.3,35.5,26.8,0.2,0.2,40517.92,45558.8,20.4,6.14
1/07/2022,29.8,35.3,26.3,0.8,0.8,41292.01,45552.81,14.5,5.52
2/07/2022,30.2,34.8,26.8,0,0,40386.64,45546.2,17.9,5.96
3/07/2022,29.2,34.3,26.9,4,4,39579.37,45538.88,20.6,5.03
4/07/2022,30.6,35,27.5,0,0,39995.31,45530.88,19.2,5.9
5/07/2022,30.3,34.8,28,0,0,37989.11,45522.18,21.8,6.47
6/07/2022,29.9,33.1,27.3,0,0,17990.33,45512.82,22.5,5.05
7/07/2022,29.6,34.2,27.2,0,0,27059.82,45502.8,25.3,5.54
8/07/2022,29.7,34.4,26.7,0.6,0.6,39600,45492.16,17.5,5.58
9/07/2022,30.5,34.8,27.5,0.3,0.3,38315.73,45480.89,23.3,6.58
10/07/2022,30.2,34.9,27.6,0.3,0.3,37541.77,45469.04,23.8,6.38
11/07/2022,29,32.8,26.8,0,0,12355.18,45456.6,27.1,4.59
12/07/2022,29.8,35.1,26.6,0,0,39744.18,45443.61,31.2,7.22
13/07/2022,29.3,33.8,26.6,0,0,40503.13,45430.06,35.2,7.47
14/07/2022,29.2,33.7,26.5,0,0,40886.88,45415.99,35,7.3
15/07/2022,29.5,34.3,26.6,0,0,38457.59,45401.42,29.6,7.14
16/07/2022,29.6,34,26.2,0.5,0.5,38891.3,45386.35,25.4,6.32
17/07/2022,29.2,35.2,26.4,1,1,35900.59,45370.81,20.9,4.89
18/07/2022,28.6,32.9,25.7,8.8,8.8,40886.87,45354.81,14.9,4.48
19/07/2022,28.4,32.3,25.7,1.5,1.5,41144.8,45338.38,14.3,5.09
20/07/2022,28.2,33,24.5,0.2,0.2,40495.24,45321.52,13.6,5.12
21/07/2022,28.1,33.2,25.3,0.9,0.9,40882.31,45304.26,14.7,5.01
22/07/2022,28,34.7,24.9,4.4,4.4,38311.06,45286.61,17.6,4.9
23/07/2022,27.6,33.1,25,5.9,5.9,38375.89,45268.41,18.6,4.37
24/07/2022,28.2,31.9,26,0.3,0.3,11135.1,45249.64,17.6,3.53
25/07/2022,28.3,33.3,25.2,3.6,3.6,39600,45230.32,15.3,5.05
26/07/2022,27.5,31.2,24.7,3.2,3.2,36010.87,45210.47,14.7,4.1
27/07/2022,27.3,30.1,24.4,1.7,1.7,32841.86,45190.13,14,4.14
28/07/2022,26.8,30,24.6,5.3,5.3,36633.92,45169.31,14,3.98
29/07/2022,26.7,28.3,25.2,1.9,1.9,1508.64,45148.04,7.8,2.25
30/07/2022,27.4,31.3,24.8,0.2,0.2,38396.77,45126.35,13.5,4.1
31/07/2022,27.7,31.6,25.3,0.4,0.4,22738.75,45104.27,14.5,3.41
1/08/2022,27.6,32,25.4,7.8,7.8,37011.57,45081.8,22.6,4.57
2/08/2022,27.5,31.8,25.9,2.6,2.6,20691.96,45058.99,23.7,3.89
3/08/2022,27.1,28.8,25.6,2.2,2.2,23811.79,45035.85,25.4,3.93
4/08/2022,27.4,29.8,25.8,0.7,0.7,10535.34,45012.4,30.9,3.96
5/08/2022,27.1,29.6,25.6,5.8,5.8,17361.22,44988.68,33.1,3.64
6/08/2022,28.6,33,26.3,0,0,37588.33,44964.7,27.3,6.07
7/08/2022,28.7,32.9,26.1,0,0,40727.7,44940.48,29.8,6.68
